Experiment subset: sand-gravel (SG) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.				


Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. ""SD"" denotes the 						
standard deviation from the mean. 						
						
t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
2.75	-5.78233E-05	0.00012445	-0.000790518	0.00873299	-0.016359427	0.044378839
2.76	-7.54583E-06	0.000176449	0.000701132	0.009624641	-0.004351264	0.022764069
2.77	-5.7257E-06	0.000272804	0.001044744	0.008563653	-0.006437773	0.019161998
2.78	-9.32494E-05	0.000227365	0.001575863	0.004888104	0.005375762	0.034646873
2.79	4.47032E-07	0.000202552	0.003523224	0.006141602	-0.009848391	0.019070084
2.8	0.000103815	0.00032791	0.000628457	0.007065841	0.000275497	0.029835608
2.81	-2.07116E-06	0.000387937	-0.00203524	0.009584016	0.002151602	0.020626916
2.82	-0.000113394	0.000327733	-0.001236138	0.003551045	0.00125343	0.017099466
2.83	-0.000206897	0.00025657	-0.002342368	0.00548847	-0.007067427	0.017345157
2.84	-2.43923E-05	0.000230464	-0.000838949	0.00520505	-0.011189889	0.021732614
2.85	-4.50688E-05	0.000270098	0.000553599	0.006667917	-0.013411529	0.01606831
2.86	-2.01244E-05	0.000253416	0.000477856	0.005541013	-0.004571099	0.012078868
2.87	-9.54316E-05	0.000188045	-0.000474839	0.005841112	0.003754236	0.019853579
2.88	-4.17819E-05	0.00017698	0.001908386	0.007837535	-0.001164163	0.011691043
2.89	-2.84522E-05	0.00025395	0.000540698	0.010269993	-0.01030097	0.013289378
2.9	4.6449E-05	0.000210372	-0.000793499	0.009279959	-0.006533289	0.02017288
2.91	1.10162E-06	0.000255348	-0.00325808	0.008907114	-0.008097493	0.023827355
